Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth,Depth CSF-B (m),MS,Timestamp (UTC),Instrument,Instrument group,Text ID,Test No.,Sample comments,Test comments,Result comments
382,U1537,A,1,H,1,,2.5,0.025,0.025,15.67,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,5,0.05,0.049,8,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,7.5,0.075,0.074,6.67,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,10,0.1,0.099,7,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,12.5,0.125,0.123,6.33,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,15,0.15,0.148,6.67,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,17.5,0.175,0.173,7,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,20,0.2,0.198,7,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,22.5,0.225,0.222,7.67,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,25,0.25,0.247,8,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,27.5,0.275,0.272,8,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,30,0.3,0.296,7.67,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,32.5,0.325,0.321,7.67,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,35,0.35,0.346,7.33,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,37.5,0.375,0.37,8,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,40,0.4,0.395,8.33,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,42.5,0.425,0.42,8.67,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,45,0.45,0.445,8.33,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,47.5,0.475,0.469,8.33,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,50,0.5,0.494,7.67,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,52.5,0.525,0.519,5.67,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,55,0.55,0.543,7.67,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,57.5,0.575,0.568,8,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,60,0.6,0.593,7.33,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,62.5,0.625,0.617,7.33,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,65,0.65,0.642,7.33,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,67.5,0.675,0.667,7,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,70,0.7,0.692,7,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,72.5,0.725,0.716,7.67,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,75,0.75,0.741,7,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,77.5,0.775,0.766,6.33,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,80,0.8,0.79,6,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,82.5,0.825,0.815,5.67,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,85,0.85,0.84,5.33,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,87.5,0.875,0.865,4.67,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,90,0.9,0.889,4.33,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,92.5,0.925,0.914,5,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
382,U1537,A,1,H,1,,95,0.95,0.939,5,4/27/2019 14:16,MS2C-695,WRMSL,SECT9921451,114060891,,,
