Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),Depth CSF-A (m),CSF-B (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Mg-Ka Area,Al-Ka Area,Si-Ka Area,P -Ka Area,S -Ka Area,Cl-Ka Area,Ar-Ka Area,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Cr-Ka Area,Mn-Ka Area,Fe-Ka Area,Rh-La-Coh Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
382,U1536,A,4,H,1,A,20,23.52,23.52,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,124964,10,3563,74952,189,2255,58600,-3750,30048,24877,13802,227,1883,141364,37381,XRF2,1,10/7/2019,11:57:30,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,40,23.54,23.54,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,115187,-60,1363,34866,50,2955,81046,-2045,19183,17317,9426,-85,1830,118591,42205,XRF2,1,10/7/2019,11:57:46,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,60,23.56,23.56,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,116823,-46,1714,42801,41,2722,76111,-1745,21525,18231,10475,154,1680,120933,42180,XRF2,1,10/7/2019,11:58:01,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,80,23.58,23.58,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,115815,-55,1609,40583,99,2633,75270,-2246,21769,18467,10833,42,1747,120663,42245,XRF2,1,10/7/2019,11:58:16,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,100,23.6,23.6,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,117054,-42,2235,54307,111,2319,66232,-1785,23971,19071,11336,100,1535,123900,40277,XRF2,1,10/7/2019,11:58:32,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,120,23.62,23.62,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,120688,-2,2829,65799,178,2190,57927,-1638,28490,22988,12835,479,1745,137242,39125,XRF2,1,10/7/2019,11:58:48,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,140,23.64,23.64,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,125299,-31,3414,73078,224,2305,56957,-1853,30198,25283,13629,334,2185,145313,39008,XRF2,1,10/7/2019,11:59:04,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,160,23.66,23.66,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,124296,49,3161,66077,116,2500,60995,-2132,28171,24140,12874,129,2329,142244,40634,XRF2,1,10/7/2019,11:59:20,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,180,23.68,23.68,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,119176,-48,2134,50270,114,2733,70896,-1594,23211,20129,10562,41,1743,127905,41761,XRF2,1,10/7/2019,11:59:36,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,200,23.7,23.7,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,129352,-30,3544,75543,158,2634,64569,-3485,31123,23258,13449,164,1933,141427,41591,XRF2,1,10/7/2019,11:59:52,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,220,23.72,23.72,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,130418,-4,4031,76779,178,2101,59317,-3274,33084,25669,14365,208,2221,155155,40223,XRF2,1,10/7/2019,12:00:08,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,240,23.74,23.74,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,119172,-12,2516,55773,98,2308,62274,-1037,26431,21397,12213,133,1654,138157,39756,XRF2,1,10/7/2019,12:00:23,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,260,23.76,23.76,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,130680,29,3769,73407,203,2214,59206,-2337,32846,28501,14846,407,2187,159983,39476,XRF2,1,10/7/2019,12:00:39,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,280,23.78,23.78,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,127649,23,3285,76023,200,2363,61528,-2956,30776,23609,13749,342,1808,140967,40398,XRF2,1,10/7/2019,12:00:56,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,300,23.8,23.8,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,126709,-22,3052,68657,125,2424,65286,-3051,29770,23479,13364,357,2104,141191,41161,XRF2,1,10/7/2019,12:01:12,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,320,23.82,23.82,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,131224,-1,3319,70855,227,2786,66964,-3751,31293,25264,13970,363,1752,148622,42218,XRF2,1,10/7/2019,12:01:28,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,340,23.84,23.84,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,131300,0,3319,69858,107,2526,66027,-3773,30211,25603,13788,333,2011,153160,41503,XRF2,1,10/7/2019,12:01:44,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
382,U1536,A,4,H,1,A,360,23.86,23.86,44593672,SHLF9855221,10,0.16,6,7,10,12,No-Filter,131936,-6,3611,73857,156,2344,64342,-3801,32534,26080,14801,195,1784,152261,41638,XRF2,1,10/7/2019,12:02:00,LEVAY_B,11/1/2019 22:31,~1mm accessory; with film; XRF 2
