Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),Depth,CSF-B (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Ca,Fe,Ni,As,Br,Rb,Sr,Y,Zr,Nb,Mo,Ag,Ba,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
382,U1537,A,2,H,2,A,20,4.02,3.986,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98447,759,7571,4893,84,1658,486,1153,118,1201,76,5,289414,5055,XRF1,1,10/2/2019,13:21:14,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,40,4.04,4.006,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,100082,952,8779,5051,96,1596,582,1329,173,1283,103,24,279078,6079,XRF1,1,10/2/2019,13:21:37,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,60,4.06,4.026,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98982,850,8769,5001,75,1591,530,1189,122,1213,77,71,277475,5624,XRF1,1,10/2/2019,13:22:01,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,80,4.08,4.046,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99328,703,9381,4873,68,1484,586,1331,61,1316,116,75,279872,6143,XRF1,1,10/2/2019,13:22:25,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,100,4.1,4.066,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99453,665,8356,4951,58,1525,663,1323,160,1357,96,51,279679,6046,XRF1,1,10/2/2019,13:22:48,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,120,4.12,4.086,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99689,720,8677,4919,86,1558,628,1382,213,1448,55,55,278826,6386,XRF1,1,10/2/2019,13:23:12,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,140,4.14,4.106,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99491,820,8283,4943,107,1554,611,1472,161,1230,79,109,276626,5911,XRF1,1,10/2/2019,13:23:35,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,160,4.16,4.126,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99314,698,8267,4920,110,1565,661,1262,135,1334,154,42,277059,5388,XRF1,1,10/2/2019,13:23:59,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,180,4.18,4.146,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99504,651,8861,4848,101,1554,667,1390,115,1398,66,61,277035,6494,XRF1,1,10/2/2019,13:24:23,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,200,4.2,4.166,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98590,697,8682,5092,50,1526,616,1264,106,1493,109,124,277598,6145,XRF1,1,10/2/2019,13:24:46,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,220,4.22,4.186,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98297,797,7812,4768,77,1560,583,1293,150,1211,50,42,275882,5662,XRF1,1,10/2/2019,13:25:10,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
