Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Bulk density (GRA),Timestamp (UTC),Instrument,Instrument group,Text ID,Test No.,Sample comments,Test comments,Result comments
382,U1536,A,1,F,1,,4.2,0.042,0.042,1.033,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,6.7,0.067,0.067,0.928,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,9.2,0.092,0.091,1.002,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,11.7,0.117,0.116,0.964,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,14.2,0.142,0.141,0.995,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,16.7,0.167,0.166,1.014,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,19.2,0.192,0.191,0.995,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,21.7,0.217,0.216,1.082,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,24.2,0.242,0.24,1.032,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,26.7,0.267,0.265,1.031,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,29.2,0.292,0.29,0.988,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,31.7,0.317,0.315,1.121,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,34.2,0.342,0.34,1.022,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,36.7,0.367,0.365,1.052,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,39.2,0.392,0.389,1.028,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,41.7,0.417,0.414,1.039,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,44.2,0.442,0.439,1.029,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,46.7,0.467,0.464,1.013,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,49.2,0.492,0.489,1.019,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,51.7,0.517,0.514,1.062,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,54.2,0.542,0.538,1.05,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,56.7,0.567,0.563,1.041,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,59.2,0.592,0.588,1.021,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,61.7,0.617,0.613,1.035,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,64.2,0.642,0.638,1.027,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,66.7,0.667,0.663,1.079,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,69.2,0.692,0.687,1.056,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,71.7,0.717,0.712,1.064,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,74.2,0.742,0.737,1.035,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,76.7,0.767,0.762,1.053,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,79.2,0.792,0.787,1.047,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,81.7,0.817,0.812,1.025,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,84.2,0.842,0.836,1.033,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,86.7,0.867,0.861,1.081,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,89.2,0.892,0.886,1.07,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,91.7,0.917,0.911,1.057,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,94.2,0.942,0.936,1.147,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,96.7,0.967,0.961,1.06,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,99.2,0.992,0.985,1.036,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,101.7,1.017,1.01,1.044,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,104.2,1.042,1.035,1.102,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,106.7,1.067,1.06,1.07,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,109.2,1.092,1.085,1.103,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,111.7,1.117,1.11,1.075,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
382,U1536,A,1,F,1,,114.2,1.142,1.134,1.047,4/9/2019 16:06,ORTEC-DIGIBASE-???,WRMSL,SECT9853901,113639271,,,
