Exp,Site,Hole,Core,Type,Sect,A/W,Top offset on section (cm),Bot offset on section (cm),Depth CSF-A (m),Depth CSF-B (m),Inorganic carbon (wt%),Calcium carbonate (wt%),Total carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Organic carbon (wt%) by difference (CHNS-COUL),Sample comments
382,U1536,A,1,F,3,W,68,69,3.76,3.736,0.011,0.092,0.7319,0,0.0838,0,0.72, 
382,U1536,A,2,H,3,W,78,79,8.28,8.12,0.015,0.125,0.754,0,0.0805,0,0.74, 
382,U1536,A,2,H,7,W,38,39,13.88,13.483,0.005,0.042,0.6286,0,0.0686,0,0.62, 
382,U1536,A,3,H,2,W,71,72,16.21,16.129,0.047,0.392,0.3596,0,0.0521,0,0.31, 
382,U1536,A,3,H,6,W,82,83,22.33,22.026,0.03,0.25,0.2239,0,0.0332,0,0.19, 
382,U1536,A,4,H,3,W,82,83,27.32,27.101,0.03,0.25,0.4109,0,0.0526,0,0.38, 
382,U1536,A,5,H,2,W,110,111,35.6,35.48,0.027,0.225,0.216,0,0.0364,0,0.19, 
382,U1536,A,5,H,4,W,73,74,38.23,37.988,0.037,0.308,0.4525,0,0.0494,0,0.42, 
382,U1536,A,6,H,2,W,132,133,45.32,45.158,0.032,0.267,0.6847,0,0.0683,0,0.65, 
382,U1536,A,6,H,6,W,26,27,50.26,49.814,0.021,0.175,0.3762,0,0.0466,0,0.36, 
382,U1536,A,7,H,4,W,67,68,57.17,56.907,0.051,0.425,0.4402,0,0.0524,0,0.39, 
382,U1536,A,7,H,6,W,91,92,60.41,59.982,0.026,0.217,0.1785,0,0.0322,0,0.15, 
382,U1536,A,8,H,3,W,58,59,65.08,64.932,0.026,0.217,0.2943,0,0.0483,0,0.27, 
382,U1536,A,8,H,4,W,60,61,66.61,66.398,0.026,0.217,0.4022,0,0.0547,0,0.38, 
382,U1536,A,9,H,1,W,69,70,71.69,71.665,0.035,0.292,0.3808,0,0.0526,0,0.35, 
382,U1536,A,9,H,6,W,66,67,79.18,78.882,0.038,0.317,0.4273,0,0.0498,0,0.39, 
382,U1536,A,10,H,5,W,60,61,85.75,85.75,2.703,22.524,3.5454,0,0.0286,0,0.84, 
382,U1536,A,10,H,7,W,67,68,88.1,88.1,0.043,0.358,0.4053,0,0.0519,0,0.36, 
382,U1536,A,11,H,1,W,74,75,90.74,90.709,0.035,0.292,0.2392,0,0.0391,0,0.2, 
382,U1536,A,11,H,5,W,77,78,96.77,96.483,0.035,0.292,0.3096,0,0.0525,0,0.27, 
382,U1536,A,12,H,2,W,82,83,101.82,101.82,0.063,0.525,0.4121,0,0.057,0,0.35, 
382,U1536,A,12,H,5,W,73,74,106.23,106.23,0.04,0.333,0.5003,0,0.058,0,0.46, 
382,U1536,A,13,H,2,W,83,84,111.33,111.17,0.044,0.367,0.4923,0,0.0622,0,0.45, 
382,U1536,A,13,H,7,W,40,41,118.4,117.756,0.063,0.525,0.3616,0,0.0483,0,0.3, 
382,U1536,A,15,H,3,W,77,78,131.77,131.595,0.052,0.433,0.7568,0,0.0707,0,0.7, 
382,U1536,A,15,H,6,W,78,79,136.29,135.907,0.05,0.417,0.4394,0,0.0588,0,0.39, 
382,U1536,A,16,H,2,W,68,69,139.69,139.568,0.039,0.325,0.7009,0,0.0761,0,0.66, 
382,U1536,A,16,H,5,W,78,79,144.14,143.771,0.243,2.025,0.4475,0,0.0342,0,0.2, 
382,U1536,A,17,H,3,W,100,101,151,151,0.048,0.4,0.8209,0,0.0899,0,0.77, 
382,U1536,A,17,H,5,W,35,36,153.26,153.26,0.047,0.392,0.4417,0,0.0579,0,0.39, 
382,U1536,A,18,H,3,W,39,40,159.81,159.641,0.04,0.333,0.4784,0,0.0594,0,0.44, 
382,U1536,A,18,H,7,W,42,43,165.69,165.223,0.043,0.358,0.3958,0,0.0518,0,0.35, 
382,U1536,A,19,H,4,W,41,42,169.19,169.144,0.051,0.425,0.4833,0,0.0524,0,0.43,CARB
382,U1536,A,19,H,6,W,70,71,171.67,171.588,0.037,0.308,0.298,0,0.0508,0,0.26, 
382,U1536,A,20,H,3,W,72,73,179.13,178.945,0.049,0.408,0.182,0,0.0351,0,0.13, 
382,U1536,A,20,H,5,W,74,75,182.08,181.745,0.05,0.417,0.5267,0,0.064,0,0.48, 
382,U1536,A,21,H,2,W,142,143,187.88,187.764,1.13,9.416,1.5583,0,0.0314,0,0.43, 
382,U1536,A,21,H,5,W,79,80,191.65,191.381,0.038,0.317,0.3552,0,0.0506,0,0.32, 
382,U1536,A,22,H,4,W,59,60,198.42,198.281,0.047,0.392,0.5198,0,0.0561,0,0.47, 
382,U1536,A,22,H,7,W,74,75,202.87,202.573,0.073,0.608,0.3184,0,0.0362,0,0.25, 
