Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Reflectance L*,Reflectance a*,Reflectance b*,Tristimulus X,Tristimulus Y,Tristimulus Z,Normalized spectral data link,Unnormalized spectral data link,Timestamp (UTC),Instrument,Instrument group,Text ID,Test No.,Sample comments,Test comments,Result comments
382,U1536,A,1,F,1,A,2.5,0.025,0.025,33.9,0.34,2.69,7.58,7.96,7.77,49066041,49066061,4/9/2019 17:12,QEPRO-QEP02181,SHMSL,SHLF9853921,113640241,,,
382,U1536,A,1,F,1,A,5,0.05,0.05,40.19,0.14,3.75,10.8,11.37,10.84,,,4/9/2019 17:12,QEPRO-QEP02181,SHMSL,SHLF9853921,113640241,,,
382,U1536,A,1,F,1,A,7.5,0.075,0.074,42.33,0.22,4.48,12.09,12.71,11.91,,,4/9/2019 17:12,QEPRO-QEP02181,SHMSL,SHLF9853921,113640241,,,
382,U1536,A,1,F,1,A,10,0.1,0.099,41.3,0.18,4.16,11.45,12.05,11.38,,,4/9/2019 17:12,QEPRO-QEP02181,SHMSL,SHLF9853921,113640241,,,
382,U1536,A,1,F,1,A,12.5,0.125,0.124,42.17,-0.07,3.34,11.95,12.61,12.24,,,4/9/2019 17:12,QEPRO-QEP02181,SHMSL,SHLF9853921,113640241,,,
382,U1536,A,1,F,1,A,15,0.15,0.149,36.73,-0.1,2.65,8.89,9.39,9.23,,,4/9/2019 17:12,QEPRO-QEP02181,SHMSL,SHLF9853921,113640241,,,
382,U1536,A,1,F,1,A,17.5,0.175,0.174,43.92,0.42,2.9,13.13,13.78,13.59,,,4/9/2019 17:12,QEPRO-QEP02181,SHMSL,SHLF9853921,113640241,,,
382,U1536,A,1,F,1,A,20,0.2,0.199,42.48,-0.16,5.43,12.13,12.81,11.65,,,4/9/2019 17:12,QEPRO-QEP02181,SHMSL,SHLF9853921,113640241,,,
382,U1536,A,1,F,1,A,22.5,0.225,0.224,42.84,0.47,4.17,12.44,13.05,12.36,,,4/9/2019 17:12,QEPRO-QEP02181,SHMSL,SHLF9853921,113640241,,,
382,U1536,A,1,F,1,A,25,0.25,0.248,42.35,0.3,3.92,12.11,12.73,12.13,,,4/9/2019 17:12,QEPRO-QEP02181,SHMSL,SHLF9853921,113640241,,,
382,U1536,A,1,F,1,A,27.5,0.275,0.273,44.26,0.44,1.61,13.36,14.02,14.37,,,4/9/2019 17:12,QEPRO-QEP02181,SHMSL,SHLF9853921,113640241,,,
382,U1536,A,1,F,1,A,30,0.3,0.298,43.06,-0.2,3.6,12.49,13.2,12.72,,,4/9/2019 17:12,QEPRO-QEP02181,SHMSL,SHLF9853921,113640241,,,
382,U1536,A,1,F,1,A,32.5,0.325,0.323,42.11,-0.39,4.32,11.86,12.57,11.83,,,4/9/2019 17:12,QEPRO-QEP02181,SHMSL,SHLF9853921,113640241,,,
