Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CSF-B (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Mg-Ka Area,Al-Ka Area,Si-Ka Area,P -Ka Area,S -Ka Area,Cl-Ka Area,Ar-Ka Area,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Cr-Ka Area,Mn-Ka Area,Fe-Ka Area,Rh-La-Coh Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
382,U1538,A,4,H,4,A,40.0,31.34,31.326,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,123435,-45,2284,69051,137,1931,72905,-2692,20987,21443,10870,-81,1735,120755,42471,XRF2,1,2019-10-09,16:05:25,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,80.0,31.38,31.366,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,126090,-19,2313,74032,87,2137,74655,-3436,20982,21852,10884,-318,1790,119267,44165,XRF2,1,2019-10-09,16:05:42,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,120.0,31.42,31.406000000000002,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,122759,-47,2104,67312,79,1800,73160,-3124,20333,21171,10863,101,1747,117487,43300,XRF2,1,2019-10-09,16:05:59,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,160.0,31.46,31.446,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,128920,-17,2733,76442,171,1787,73257,-3527,22645,24800,12234,-80,1972,129151,44276,XRF2,1,2019-10-09,16:06:16,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,200.0,31.5,31.486,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,129753,21,3196,84828,249,1706,66380,-3544,24649,25942,12885,34,1616,135946,42674,XRF2,1,2019-10-09,16:06:34,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,240.0,31.54,31.526,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,126809,17,2822,75268,148,1652,69256,-3033,24006,24261,12352,-97,1712,129287,42917,XRF2,1,2019-10-09,16:06:51,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,280.0,31.580000000000002,31.566000000000003,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,132207,14,3874,98462,229,1713,59211,-3481,27795,27981,14218,283,2164,139057,41642,XRF2,1,2019-10-09,16:07:08,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,320.0,31.62,31.606,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,132473,28,3675,94146,316,1798,60899,-3464,28033,29380,14391,220,2039,141925,41119,XRF2,1,2019-10-09,16:07:25,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,360.0,31.66,31.646,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,130385,13,3916,94399,190,1422,58629,-2930,27336,28368,14218,334,2003,138535,40381,XRF2,1,2019-10-09,16:07:43,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,400.0,31.7,31.686,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,130828,19,3393,79328,131,1649,67140,-3322,26284,27934,13988,384,2020,142498,42512,XRF2,1,2019-10-09,16:08:00,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,440.0,31.740000000000002,31.726000000000003,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,128783,-6,2931,72189,234,1475,70788,-3136,25190,27388,13848,427,1948,137595,42900,XRF2,1,2019-10-09,16:08:17,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,480.0,31.78,31.766000000000002,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,126565,29,2933,72502,165,1456,68447,-2829,24161,26210,13098,163,1925,133157,43216,XRF2,1,2019-10-09,16:08:34,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,520.0,31.82,31.806,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,134865,27,3753,82701,305,1509,65908,-3442,28160,30089,15112,199,2019,153909,42491,XRF2,1,2019-10-09,16:08:52,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,560.0,31.86,31.846,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,136888,44,3946,81111,282,1516,65639,-3560,30657,32907,16359,430,2310,161485,42486,XRF2,1,2019-10-09,16:09:09,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,600.0,31.900000000000002,31.886000000000003,44596472,SHLF9961561,10,0.16,6,8,10,12,No-Filter,141843,30,4397,91535,321,1397,57247,-3251,33948,36912,17478,308,2450,178900,41382,XRF2,1,2019-10-09,16:09:26,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,640.0,31.94,31.926000000000002,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,141136,18,4202,84927,222,1135,62704,-3586,32124,36762,17195,585,2833,174704,42386,XRF2,1,2019-10-09,16:09:43,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,680.0,31.98,31.966,44596472,SHLF9961561,10,0.16,6,8,10,12,No-Filter,144091,36,5258,96671,339,1101,55881,-3169,34874,40633,19067,502,2608,183384,40438,XRF2,1,2019-10-09,16:10:00,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,720.0,32.02,32.006,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,139393,14,3936,78090,271,1459,63905,-3192,32435,38600,18266,352,2407,173057,42140,XRF2,1,2019-10-09,16:10:18,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,760.0,32.06,32.046,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,141824,21,4613,89569,244,1583,61200,-3668,32599,39301,17820,388,2959,173663,41919,XRF2,1,2019-10-09,16:10:35,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,800.0,32.1,32.086,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,139689,25,4191,84160,220,1555,61171,-3498,31707,38531,17662,362,2518,170887,42165,XRF2,1,2019-10-09,16:10:52,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,840.0,32.14,32.126000000000005,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,137415,-4,4114,85617,250,1262,62400,-3286,29957,37021,17513,183,2341,162720,41842,XRF2,1,2019-10-09,16:11:09,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,880.0,32.18,32.166000000000004,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,134358,13,3201,74506,186,1576,69544,-3453,25764,34108,15295,65,2495,153816,43085,XRF2,1,2019-10-09,16:11:27,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,920.0,32.22,32.206,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,133419,54,3391,78849,229,1255,65958,-3590,26070,33192,15231,271,2269,151993,42778,XRF2,1,2019-10-09,16:11:44,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
382,U1538,A,4,H,4,A,960.0,32.26,32.246,44596472,SHLF9961561,10,0.16,6,7,10,12,No-Filter,130207,1,3236,74566,179,1881,67866,-3111,24253,31912,14212,398,2488,143522,42626,XRF2,1,2019-10-09,16:12:01,LEVAY_B,2019-11-05 16:39:02,~1mm accessory; with film; XRF 2
