"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Magnetic susceptibility (instr. units)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"382","U1538","A","1","H","1","","2.0","0.020","0.020","6.00","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
"382","U1538","A","1","H","1","","3.0","0.030","0.030","7.00","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
"382","U1538","A","1","H","1","","4.0","0.040","0.040","7.67","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
"382","U1538","A","1","H","1","","5.0","0.050","0.049","7.67","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
"382","U1538","A","1","H","1","","6.0","0.060","0.059","7.33","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
"382","U1538","A","1","H","1","","7.0","0.070","0.069","8.67","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
"382","U1538","A","1","H","1","","8.0","0.080","0.079","8.33","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
"382","U1538","A","1","H","1","","9.0","0.090","0.089","8.67","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
"382","U1538","A","1","H","1","","10.0","0.100","0.099","9.00","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
"382","U1538","A","1","H","1","","11.0","0.110","0.109","8.67","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
"382","U1538","A","1","H","1","","12.0","0.120","0.119","8.33","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
"382","U1538","A","1","H","1","","13.0","0.130","0.129","8.33","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
"382","U1538","A","1","H","1","","14.0","0.140","0.138","9.00","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
"382","U1538","A","1","H","1","","15.0","0.150","0.148","9.00","2019-05-05 06:42:42","MS2C-695","WRMSL","SECT9960051","114346161","","",""
