"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Magnetic susceptibility (instr. units)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"382","U1534","A","1","H","1","","2.5","0.025","0.025","63.00","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","5.0","0.050","0.050","78.00","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","7.5","0.075","0.074","85.33","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","10.0","0.100","0.099","90.33","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","12.5","0.125","0.124","94.33","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","15.0","0.150","0.149","95.33","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","17.5","0.175","0.173","99.00","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","20.0","0.200","0.198","110.00","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","22.5","0.225","0.223","119.67","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","25.0","0.250","0.248","122.67","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","27.5","0.275","0.273","123.67","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","30.0","0.300","0.297","124.00","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","32.5","0.325","0.322","125.33","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","35.0","0.350","0.347","124.67","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","37.5","0.375","0.372","126.00","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","40.0","0.400","0.397","124.33","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","42.5","0.425","0.421","114.67","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","45.0","0.450","0.446","99.67","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","47.5","0.475","0.471","103.33","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","50.0","0.500","0.496","113.33","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","52.5","0.525","0.520","117.33","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","55.0","0.550","0.545","120.00","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","57.5","0.575","0.570","81.00","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","60.0","0.600","0.595","120.00","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","62.5","0.625","0.620","119.33","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","65.0","0.650","0.644","119.00","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","67.5","0.675","0.669","116.00","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
"382","U1534","A","1","H","1","","70.0","0.700","0.694","112.33","2019-03-30 11:57:55","MS2C-695","WRMSL","SECT9806321","113382491","","",""
